설치장소명,종류,경도,위도
"117동, 신당삼성아파트 117동 쪽문",그늘막(고정형),127.0178958,37.5581685
성원빌딩 앞,그늘막(고정형),127.0130864,37.5584521
신일교회 앞,그늘막(고정형),127.0119282,37.5553962
호박식당 앞,그늘막(고정형),127.0123209,37.5573086
금성교회 앞,그늘막(고정형),127.0188401,37.5579298
왕신경외과의원,그늘막(고정형),127.0240448,37.564944
113동,그늘막(고정형),127.0227206,37.5616188
KT대리점 앞,그늘막(고정형),127.0197615,37.5654894
올표유 신당점 앞,그늘막(고정형),127.018337,37.5654535
신당역 5번 출구 앞,그늘막(고정형),127.0165018,37.5651901
102동,그늘막(고정형),127.0232275,37.562507
골드키친 주방 앞,그늘막(고정형),127.0239065,37.5634501
흥인초벽면 앞,그늘막(고정형),127.0144689,37.560698
109동,그늘막(고정형),127.019505,37.5592001
예수소망교회 앞,그늘막(고정형),127.0185293,37.5600595
빛나는 바다 앞,그늘막(고정형),127.0162142,37.5639497
청계천8가 교차로,그늘막(고정형),127.021434,37.5709778
SKT대리점 앞,그늘막(고정형),127.0186879,37.5705223
롯데캐슬 앞,그늘막(고정형),127.021434,37.5709778
영도교 앞,그늘막(고정형),127.0186879,37.5705223
마장로 119 앞,그늘막(고정형),127.0232213,37.568066
난계로 179 앞,그늘막(고정형),127.0233305,37.5675995
왕만두 점포 앞,그늘막(고정형),127.0221569,37.5656158
중앙시장 입구 앞,그늘막(고정형),127.0198725,37.5659671
난계로 167 앞,그늘막(고정형),127.0233492,37.5664028
성동고교 교차로,그늘막(고정형),127.0232377,37.5654738
길상사 안경원 앞,그늘막(고정형),127.01816,37.5657243
서울역센트럴자이 앞,그늘막(고정형),126.965449,37.5541494
7017광장 횡단보도,그늘막(고정형),126.9686608,37.5557873
센트럴플레이스 앞,그늘막(고정형),126.9670155,37.5609015
102동,그늘막(고정형),126.9653067,37.5581158
새마을금고 앞,그늘막(고정형),126.9663569,37.5545776
서울로 7017 만리광장 앞,그늘막(고정형),126.9686608,37.5557873
신흥빌딩 앞 교통섬,그늘막(고정형),126.9688174,37.5596811
서울로 7017 만리광장 맞은편,그늘막(고정형),126.9694414,37.5562878
서울역디오빌 앞,그늘막(고정형),126.9672217,37.5550165
CU센트럴자이 앞,그늘막(고정형),126.9639571,37.5546259
봉래초 정문 맞은편,그늘막(고정형),126.9633594,37.5556056
파리바게트 앞 횡단보도,그늘막(스마트형),126.9771316,37.5500417
횡단보도 앞,그늘막(스마트형),126.9771055,37.5504983
남산도서관 맞은편 횡단보도,그늘막(고정형),126.9813586,37.5526606
교통섬,그늘막(고정형),126.9814345,37.546806
후암동 종점,그늘막(스마트형),126.9814345,37.546806
해방촌 입구 앞 교통섬,그늘막(스마트형),126.9869017,37.5423394
횡단보도 앞,그늘막(스마트형),126.9722793,37.542245
횡단보도 앞,그늘막(스마트형),126.9723351,37.541743
숙대입구역 2번 출구 앞,그늘막(스마트형),126.9723165,37.5454198
숙대입구역 10번 출구  뒤 횡단보도 앞,그늘막(고정형),126.9715854,37.5455495
횡단보도 앞,그늘막(스마트형),126.973211,37.5508074
소화병원 맞은편,그늘막(스마트형),126.9710685,37.5523947
"(숙대입구역 3,4번 출구) 앞 횡단보도",그늘막(스마트형),126.972399,37.5449092
갑을빌딩 옆 횡단보도,그늘막(스마트형),126.9723214,37.549665
청파선린공원 게이트볼장 내,그늘막(고정형),126.9662032,37.5434773
청파선린공원,그늘막(고정형),126.9662032,37.5434773
풍림아이원오피스텔 앞 횡단보도,그늘막(고정형),126.9684545,37.5549352
삼일교회 입구 횡단보도 앞,그늘막(고정형),126.9706101,37.546418
횡단보도 앞,그늘막(고정형),126.9700703,37.5461786
동민의원 옆 횡단보도 앞,그늘막(고정형),126.9701901,37.5484877
숙명여대 제1캠퍼스 광장 잔디밭,그늘막(고정형),126.9649336,37.5461385
,그늘막(고정형),126.9649336,37.5461385
,그늘막(고정형),126.9649336,37.5461385
신계역사공원 내,그늘막(고정형),126.9664125,37.5354286
신계역사공원 내,그늘막(고정형),126.9664125,37.5354286
교통섬,그늘막(스마트형),126.9700966,37.5402095
BMW한독모터스 앞,그늘막(스마트형),126.9706229,37.5410468
용산리첸시아 앞 교통섬,그늘막(스마트형),126.9679887,37.538181
꿈나무종합타운 맞은편 교통섬,그늘막(스마트형),126.9656635,37.5380045
원효로 1가 112-1,그늘막(스마트형),126.9712331,37.5407393
,그늘막(고정형),126.9551221,37.5320749
,그늘막(고정형),126.9551221,37.5320749
횡단보도 앞,그늘막(고정형),126.9517596,37.5329485
교통섬,그늘막(스마트형),126.9504512,37.5334248
아파트 정문  앞,그늘막(고정형),126.9485823,37.534082
,그늘막(고정형),126.9550975,37.5317375
횡단보도 앞(현대자동차 방향),그늘막(고정형),126.9550975,37.5317375
효창공원 내 매점 앞,그늘막(고정형),126.9602216,37.5451823
효창공원 내 매점 앞,그늘막(고정형),126.9602216,37.5451823
효창파크 푸르지오 입구 옆 횡단보도,그늘막(고정형),126.958209,37.5401197
롯데캐슬센터포레  101동  횡단보도 앞,그늘막(고정형),126.9644139,37.5386375
효창공원역  3번출구 횡단보도 앞,그늘막(스마트형),126.9612582,37.5387402
효창공원역 3번출구 뒤 횡단보도,그늘막(고정형),126.9612582,37.5387402
효창공원역 6번출구  뒤,그늘막(고정형),126.9607643,37.5392751
효창공원역 앞 5번출구 앞,그늘막(고정형),126.9629401,37.5383074
효창공원역 4번출구 입구 버스정류장(03-180) 옆,그늘막(고정형),126.9624192,37.5384393
삼각지역 9번출구 앞 교통섬,그늘막(고정형),126.9717221,37.5371832
삼각지역 9번출구 앞 교통섬 위(8번출구 방향),그늘막(고정형),126.9736439,37.536872
(삼각지역 8번출구) 앞 교통섬,그늘막(스마트형),126.9733016,37.5354648
용산구자전거교통안전체험관 앞 교통섬,그늘막(스마트형),126.961517,37.5230589
(삼각지역 12번 출구) 앞 교통섬,그늘막(스마트형),126.9748725,37.5355162
삼각지역 11번출구 앞 교통섬,그늘막(고정형),126.9748094,37.5357318
신용산역 5번출구 앞 횡단보도,그늘막(고정형),126.9682776,37.5326655
B동 앞,그늘막(스마트형),126.9669814,37.5291079
횡단보도 앞,그늘막(스마트형),126.9675883,37.5303029
B동 앞 횡단보도(용산역 맞은편),그늘막(스마트형),126.9669814,37.5291079
구 용사의 집 맞은편 횡단보도 앞 (아이파크몰 맞은편),그늘막(스마트형),126.9640881,37.5273041
써밋 앞 횡단보도(아우디 맞은편),그늘막(고정형),126.9652809,37.527275
아우디매장 앞 횡단보도,그늘막(고정형),126.9646299,37.5261373
파파존스 앞 횡단보도,그늘막(고정형),126.9655639,37.5263543
용산전자랜드 탐앤탐스 앞,그늘막(스마트형),126.9597276,37.5328141
금영빌딩 앞 횡단보도,그늘막(스마트형),126.9626285,37.5242366
엘지유플러스 앞 횡단보도,그늘막(고정형),126.9634795,37.5237719
드래곤힐스파 건너편 횡단보도,그늘막(스마트형),126.9640881,37.5273041
맞은편 횡단보도,그늘막(고정형),126.9691134,37.5235493
"10동,11동",그늘막(스마트형),126.9623221,37.533346
국방부 앞 횡단보도,그늘막(스마트형),126.9751659,37.534313
102동 앞,그늘막(고정형),126.9676579,37.5258963
101동 앞,그늘막(고정형),126.9676579,37.5258963
,그늘막(스마트형),126.9683445,37.5293216
신용산역1번 출구,그늘막(스마트형),126.9683445,37.5293216
교통섬(삼각지역),그늘막(스마트형),126.9739775,37.5356469
한강로 2가 422-4,그늘막(스마트형),126.9659138,37.5284333
두산위브트레지움 앞 교통섬,그늘막(스마트형),126.9671257,37.5218174
한강대교북단교차로 교통섬(한강대우트럼프월드3차 쪽),그늘막(스마트형),126.9629534,37.5231424
성촌공원 횡단보도,그늘막(고정형),126.953407,37.5300556
한강대교 주민쉼터(구.자전거교통안전체험장),그늘막(고정형),126.9564093,37.5260078
한강대교 주민쉼터(구.자전거교통안전체험장),그늘막(고정형),126.9564093,37.5260078
녹사평역 광장 횡단보도 옆,그늘막(스마트형),126.988832,37.5339066
녹사평역 광장 횡단보도 앞 교통섬,그늘막(스마트형),126.988832,37.5339066
이태원역 2번출구 옆,그늘막(스마트형),126.9938629,37.5347435
공중화장실 앞,그늘막(고정형),126.9886819,37.5343212
대산빌딩 앞 교통섬,그늘막(고정형),126.9914897,37.530187
이태원교회 앞 횡단보도,그늘막(스마트형),126.9901711,37.5345913
이태원역 1번출구 횡단보도,그늘막(스마트형),126.993588,37.5347063
녹사평역 육교 하단(횡단보도 앞),그늘막(스마트형),126.9870355,37.5363763
앞 버스정류장,그늘막(고정형),126.9887449,37.5391543
옆 소공원,그늘막(고정형),126.9931585,37.5408747
회나무로 91(하얏트 호텔 근처),그늘막(스마트형),126.9964242,37.5410713
응봉근린공원 관리사무소 옆,그늘막(고정형),127.0033383,37.5461057
제일기획 앞 횡단보도,그늘막(스마트형),126.9988343,37.5349555
앞 횡단보도,그늘막(스마트형),126.9981386,37.5354281
GS칼텍스 제3한강주유소 앞 교통섬,그늘막(스마트형),127.0075465,37.5327374
제천회관 앞,그늘막(고정형),127.0062523,37.5311997
앞 횡단보도,그늘막(고정형),127.0064723,37.5323252
앞 횡단보도,그늘막(고정형),127.0072568,37.5323909
맞은편 교통섬,그늘막(고정형),127.0065766,37.5322512
앞 횡단보도,그늘막(고정형),127.0064614,37.5313341
옆 횡단보도,그늘막(스마트형),127.0071472,37.5306823
맞은편 교통섬,그늘막(고정형),127.0063867,37.5302424
앞 교통섬,그늘막(고정형),127.0077385,37.5302973
옆 횡단보도,그늘막(고정형),127.0071472,37.5306823
앞 횡단보도,그늘막(스마트형),127.007749,37.5338371
앞 횡단보도,그늘막(스마트형),127.0068617,37.5334356
앞 버스정류장(03-162),그늘막(고정형),127.0060927,37.5365181
한남오거리 교통섬,그늘막(스마트형),127.008197,37.5333511
앞 버스정류장,그늘막(고정형),127.0035754,37.5418767
신동아쇼핑 앞 횡단보도,그늘막(스마트형),126.9852114,37.5172553
빗물펌프장 앞 횡단보도,그늘막(고정형),126.996697,37.5213683
옆 횡단보도,그늘막(고정형),126.9901026,37.5205355
서빙고역 앞 횡단보도,그늘막(고정형),126.9900421,37.5199438
국립중앙박물관 남문 앞,그늘막(스마트형),126.9784764,37.5212113
서빙고로 237 앞 횡단보도,그늘막(스마트형),126.9901026,37.5205355
왕십리 자이 정문 앞,그늘막(고정형),127.0247891,37.5604583
홈플러스 익스프레스 앞,그늘막(고정형),127.0325476,37.5627182
행당역풍림아이원 113동 앞,그늘막(고정형),127.0253152,37.5589659
왕십리자이 101동 앞,그늘막(고정형),127.0247891,37.5604583
일미식당 앞,그늘막(고정형),127.0311979,37.5634326
KCC스위첸 정문 마을버스 정류장,그늘막(고정형),127.0272566,37.5606237
상왕십리역 4번 출구 횡단보도,그늘막(고정형),127.0295116,37.5641488
양지사거리(텐즈힐 101동 앞),그늘막(고정형),127.0279662,37.5685653
성동고교 교차로(센트라스 127동 앞),그늘막(고정형),127.0246145,37.566871
양지사거리(센트라스 116동 앞),그늘막(고정형),127.0246145,37.566871
황학사거리(혜성교회 앞),그늘막(고정형),127.0236661,37.5681095
텐즈힐 부동산 앞 교통섬,그늘막(고정형),127.0239066,37.571146
"왕십리역 교차로(1, 2번출구 사이) 교통섬",그늘막(고정형),127.0352795,37.5617648
왕십리도선동 주민센터 앞,그늘막(고정형),127.0254834,37.567877
밀밭고을 앞,그늘막(고정형),127.034751,37.5660339
양지사거리(양지부동산 앞),그늘막(고정형),127.0304407,37.5669303
양지사거리(비전공인중개사 앞),그늘막(고정형),127.030438,37.5665702
황학사거리(스타벅스 앞) 교통섬,그늘막(고정형),127.0276467,37.56611
숭신초등학교 정문 앞 (위),그늘막(고정형),127.0278038,37.5676959
왕십리도선동 주민센터 교차로(텐즈힐 상가 앞),그늘막(고정형),127.0279662,37.5685653
왕십리도선동 주민센터 교차로(센트라스 110동 앞),그늘막(고정형),127.0246145,37.566871
왕십리도선동 주민센터 교차로(센트라스 126동 앞),그늘막(고정형),127.0246145,37.566871
도선고등학교 앞,그늘막(고정형),127.0270066,37.566656
숭신초등학교 정문 앞 (아래),그늘막(고정형),127.0278038,37.5676959
꽂재교회 옆,그늘막(고정형),127.0279076,37.5668309
텐즈힐 103동 앞 버스정류장,그늘막(고정형),127.0279662,37.5685653
텐즈힐 115동 앞,그늘막(고정형),127.0279662,37.5685653
동인병원 앞,그늘막(고정형),127.0280332,37.5650965
상왕십리역 교차로(1-1번 출구 앞) (1),그늘막(고정형),127.0288669,37.5650421
상왕십리역 교차로(1-1번 출구 앞) (2),그늘막(고정형),127.0246145,37.566871
렉스프리미엄오피스텔 앞,그늘막(고정형),127.0352991,37.5636133
센트라스아파트 117동 앞 횡단보도,그늘막(고정형),127.0276467,37.56611
왕십리교회 옆 센트라스 상가 앞 횡단보도,그늘막(고정형),127.0243153,37.5660038
라임동물병원 횡단보도,그늘막(고정형),127.0303115,37.5654753
D-classic 안경점 앞 횡단보도,그늘막(고정형),127.0313281,37.5637367
숭신초등학교 정문,그늘막(고정형),127.0278038,37.5676959
청계벽산아파트 정문 앞 횡단보도,그늘막(고정형),127.0316644,37.5687032
텐즈힐 104동 앞 횡단보도,그늘막(고정형),127.0279662,37.5685653
센트라스오피스텔 앞 횡단보도(알뜰세화주유소 맞은편),그늘막(고정형),127.0246159,37.5654344
도선사거리(동방빌딩 앞),그늘막(고정형),127.0371155,37.5662588
서울시설공단 교차로(서마장공원 앞) 교통섬,그늘막(고정형),127.0375331,37.5715268
마장삼거리(현대블루핸즈) 앞,그늘막(고정형),127.0423033,37.5653519
마장삼거리(금강부동산) 앞,그늘막(고정형),127.0423033,37.5653519
마장삼거리(시립성동노인종합복지관) 앞 교통섬,그늘막(고정형),127.0413742,37.5648135
마장축산물시장 파리바게트 앞,그늘막(고정형),127.0373752,37.5702434
서울시설공단 교차로(대한적십자사 맞은편),그늘막(고정형),127.0385149,37.5714745
마장2교 교차로(미담한의원 앞) 교통섬,그늘막(고정형),127.0454006,37.5681019
"서울시설공단 교차로(서마장공원 맞은편, 청계천방향)교통섬",그늘막(고정형),127.0375331,37.5715268
현대오일뱅크 주유소 앞 횡단보도,그늘막(고정형),127.0437272,37.5670144
마장동주민센터 앞 횡단보도,그늘막(고정형),127.0455301,37.5664526
대한적십자사 서울지사 앞 교통섬,그늘막(고정형),127.0385149,37.5714745
한양대병원 교차로(장미화원 앞) 교통섬,그늘막(고정형),127.041179,37.5580324
한양대병원 교차로(한양광장 앞) 교통섬,그늘막(고정형),127.0401588,37.5583017
한양대병원 교차로(하나은행 앞) 교통섬,그늘막(고정형),127.0414678,37.5572297
한양대병원 교차로(서울숲 더샵아파트 앞) 교통섬,그늘막(고정형),127.040119,37.5615994
사근삼거리 교통섬,그늘막(고정형),127.0491941,37.5609948
성동구청 앞 횡단보도,그늘막(스마트형),127.0367465,37.5632153
도담도담 꿈 놀이터(1),그늘막(스마트형),127.0367465,37.5632153
도담도담 꿈 놀이터(2),그늘막(스마트형),127.0367465,37.5632153
성동구청 광장 연못 앞,그늘막(스마트형),127.0367465,37.5632153
왕십리역 교차로(지하철 8번 출구 앞) 교통섬,그늘막(고정형),127.0360792,37.5611965
왕십리역 교차로(10번 11번 출구 사이) 교통섬,그늘막(고정형),127.0358688,37.5605302
왕십리역 교차로(지하철 9번 출구 앞) 교통섬,그늘막(고정형),127.0358688,37.5605302
피자헛 앞 횡단보도 건너편 교통섬,그늘막(고정형),127.0384631,37.5581715
