대명칭,경도,위도
구의3동사무소,127.0976935,37.53904461
방화공중화장실,126.8120959,37.5816729
동부지방법원,127.0874701,37.53685794
원신공영주차장,126.9294067,37.4701602
구로본동주민센터,126.8829003,37.49931681
미성동주민센터,126.9155633,37.47621999
봉원공중화장실,126.9461831,37.57072239
광진구청,127.0827139,37.5379957
무궁화공중화장실,126.8511959,37.5451975
자양2동주민센터,127.0843684,37.5288319
꿈돌이공중화장실,126.8463139,37.54554258
자양4동주민센터,127.0661732,37.53415601
이수공중화장실,126.8743771,37.54828685
구의1동사무소,127.0856855,37.54254938
구암공중화장실,126.8526764,37.56778942
좌월공중화장실,126.9133169,37.61732308
방화2종합사회복지관,126.8196056,37.57490641
구산공중화장실,126.9067437,37.60884725
방화119안전센터,126.8142929,37.57981756
장미공중화장실,126.8138502,37.55670342
구로4동주민센터,126.8866003,37.48567697
쌈지공중화장실,126.8149751,37.57118828
고척2동주민센터,126.8586696,37.50669244
성현동주민센터,126.9481188,37.48960091
홍제2공중화장실,126.9548512,37.59285869
서원동주민센터,126.9313494,37.47979684
남가좌1공중화장실,126.9182624,37.57287692
은천동주민센터,126.9408467,37.48590045
남가좌2공중화장실,126.9165412,37.57068761
달빛공중화장실,127.059867,37.6632746
화곡119안전센터,126.8452413,37.5437052
강서구민회관,126.8436456,37.55348297
두루미공중화장실,127.0532382,37.66574257
강서구청,126.8495442,37.55107627
가양5종합사회복지관,126.8533807,37.56433459
불광시범공중화장실,126.9360221,37.62312604
가양7종합사회복지관,126.8624509,37.56135186
새장골공중화장실,126.9262584,37.62533906
등촌종합사회복지관,126.8422221,37.56406107
구로5동주민센터,126.8893405,37.50015787
무지개공중화장실,126.8518519,37.56495522
개봉동주민센터,126.8471344,37.50224046
거리공원등기소앞화장실,126.8904376,37.50102652
개봉2동주민센터,126.8565277,37.49086806
구로3동동산빌라앞화장실,126.8885918,37.48632612
행운동제1공영주차장,126.9605956,37.47988624
공항지구대,126.8083353,37.56239307
감나무공중화장실,127.0586622,37.64924942
곰달래지구대,126.8631532,37.53296075
길마공중화장실,126.9158617,37.61473678
등촌4종합사회복지관,126.8437471,37.56085514
서갈현공중화장실,126.9157811,37.62150249
등촌7종합사회복지관,126.8506905,37.560328
박석공중화장실,126.9186069,37.62516069
방화11종합사회복지관,126.8059718,37.56949215
강서보건소,126.8682298,37.54974584
개나리공중화장실,127.0583338,37.66927454
발산119안전센터,126.8368541,37.55530732
중곡2동사무소,127.0814919,37.56032926
등촌공중화장실,126.8417797,37.56342476
중곡3동사무소,127.080131,37.56886548
서낭당공중화장실,126.8500371,37.55858985
중곡4동사무소,127.0872741,37.56537179
우장1공중화장실,126.8435735,37.5504013
능동사무소,127.0805162,37.55381135
우장2공중화장실,126.8435735,37.5504013
대현공중화장실,126.9437264,37.5578381
신월공원화장실,126.8338428,37.51802492
관악문화관도서관,126.9449171,37.46801374
독서공원화장실,126.8349156,37.519748
보라매제1공영주차장,126.9344494,37.48868557
오솔길공원화장실,126.8365344,37.52111543
햇빛공중화장실,127.0603299,37.66662832
강서소방서,126.8601937,37.55810183
종달새공중화장실,127.0620318,37.66800748
매바위공중화장실,126.9239636,37.59048235
송정역,126.8120902,37.56154103
군자동사무소,127.0759504,37.55518512
가리봉2동주민센터,126.8840168,37.48417301
삭새어린이공원,126.8250298,37.49637206
오류1동주민센터,126.8450997,37.49709445
아름공중화장실,126.8487096,37.56868494
신원동주민센터,126.9273643,37.48162969
현저공중화장실,126.9530963,37.5730089
낙성대주민센터,126.9583592,37.47640418
난향동주민센터,126.9188025,37.46161422
까치공중화장실,126.9041191,37.57996976
신시동주민센터,126.9180685,37.48546324
방화6종합사회복지관,126.8108963,37.57801594
대조공중화장실,126.9199412,37.61544041
개화산역,126.8061212,37.57231164
강서도서관,126.8600202,37.54802039
민들레공중화장실,127.0561867,37.66285258
기린공중화장실,127.0592957,37.65199148
채송화공중화장실,127.0571617,37.65172097
방화1치안센터,126.8138535,37.57422158
온곡공중화장실,127.061065,37.65990114
공항동우체국,126.8119534,37.56152359
가양4종합사회복지관,126.8526283,37.56475474
응암공중화장실,126.9236065,37.60165317
